"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"489",1998,"MJJ",-0.86,"La_Nina","steelblue",1998-06-01,"La_Nina"
"490",1998,"SON",-1.38,"La_Nina","steelblue",1998-10-01,"La_Nina"
"491",1999,"AMJ",-1.05,"La_Nina","steelblue",1999-05-01,"La_Nina"
"492",1999,"ASO",-1.19,"La_Nina","steelblue",1999-09-01,"La_Nina"
"493",1999,"DJF",-1.54666666666667,"La_Nina","steelblue",1999-01-01,"La_Nina"
"494",1999,"FMA",-1,"La_Nina","steelblue",1999-03-01,"La_Nina"
"495",1999,"JAS",-1.09,"La_Nina","steelblue",1999-08-01,"La_Nina"
"496",1999,"JFM",-0.9,"La_Nina","steelblue",1999-02-01,"La_Nina"
"497",1999,"JJA",-1.19,"La_Nina","steelblue",1999-07-01,"La_Nina"
"498",1999,"MAM",-1.02,"La_Nina","steelblue",1999-04-01,"La_Nina"
"499",1999,"MJJ",-1.05,"La_Nina","steelblue",1999-06-01,"La_Nina"
"500",1999,"SON",-1.5,"La_Nina","steelblue",1999-10-01,"La_Nina"
"501",2000,"AMJ",-0.64,"La_Nina","steelblue",2000-05-01,"La_Nina"
"502",2000,"ASO",-0.65,"La_Nina","steelblue",2000-09-01,"La_Nina"
"503",2000,"DJF",-1.66666666666667,"La_Nina","steelblue",2000-01-01,"La_Nina"
"504",2000,"FMA",-0.75,"La_Nina","steelblue",2000-03-01,"La_Nina"
"505",2000,"JAS",-0.52,"La_Nina","steelblue",2000-08-01,"La_Nina"
"506",2000,"JFM",-0.93,"La_Nina","steelblue",2000-02-01,"La_Nina"
"507",2000,"JJA",-0.47,"Neutral","gray80",2000-07-01,"Neutral"
"508",2000,"MAM",-0.74,"La_Nina","steelblue",2000-04-01,"La_Nina"
"509",2000,"MJJ",-0.55,"La_Nina","steelblue",2000-06-01,"La_Nina"
"510",2000,"SON",-0.71,"La_Nina","steelblue",2000-10-01,"La_Nina"
"511",2001,"AMJ",-0.11,"Neutral","gray80",2001-05-01,"Neutral"
"512",2001,"ASO",-0.18,"Neutral","gray80",2001-09-01,"Neutral"
"513",2001,"DJF",-0.68,"La_Nina","steelblue",2001-01-01,"La_Nina"
"514",2001,"FMA",-0.39,"Neutral","gray80",2001-03-01,"Neutral"
"515",2001,"JAS",-0.28,"Neutral","gray80",2001-08-01,"Neutral"
"516",2001,"JFM",-0.39,"Neutral","gray80",2001-02-01,"Neutral"
"517",2001,"JJA",-0.1,"Neutral","gray80",2001-07-01,"Neutral"
"518",2001,"MAM",-0.24,"Neutral","gray80",2001-04-01,"Neutral"
"519",2001,"MJJ",-0.01,"Neutral","gray80",2001-06-01,"Neutral"
"520",2001,"SON",-0.41,"Neutral","gray80",2001-10-01,"Neutral"
"521",2002,"AMJ",0.79,"El_Nino","firebrick",2002-05-01,"El_Nino"
"522",2002,"ASO",1.2,"El_Nino","firebrick",2002-09-01,"El_Nino"
"523",2002,"DJF",-0.15,"Neutral","gray80",2002-01-01,"Neutral"
"524",2002,"FMA",0.12,"Neutral","gray80",2002-03-01,"Neutral"
"525",2002,"JAS",1.01,"El_Nino","firebrick",2002-08-01,"El_Nino"
"526",2002,"JFM",0.09,"Neutral","gray80",2002-02-01,"Neutral"
"527",2002,"JJA",0.81,"El_Nino","firebrick",2002-07-01,"El_Nino"
"528",2002,"MAM",0.4,"Neutral","gray80",2002-04-01,"Neutral"
"529",2002,"MJJ",0.77,"El_Nino","firebrick",2002-06-01,"El_Nino"
"530",2002,"SON",1.41,"El_Nino","firebrick",2002-10-01,"El_Nino"
"531",2003,"AMJ",-0.21,"Neutral","gray80",2003-05-01,"Neutral"
"532",2003,"ASO",0.38,"Neutral","gray80",2003-09-01,"Neutral"
"533",2003,"DJF",0.916666666666667,"El_Nino","firebrick",2003-01-01,"El_Nino"
"534",2003,"FMA",-0.05,"Neutral","gray80",2003-03-01,"Neutral"
"535",2003,"JAS",0.19,"Neutral","gray80",2003-08-01,"Neutral"
"536",2003,"JFM",0.45,"Neutral","gray80",2003-02-01,"Neutral"
"537",2003,"JJA",0.2,"Neutral","gray80",2003-07-01,"Neutral"
"538",2003,"MAM",-0.52,"La_Nina","steelblue",2003-04-01,"La_Nina"
"539",2003,"MJJ",0.24,"Neutral","gray80",2003-06-01,"Neutral"
"540",2003,"SON",0.29,"Neutral","gray80",2003-10-01,"Neutral"
"541",2004,"AMJ",0.2,"Neutral","gray80",2004-05-01,"Neutral"
"542",2004,"ASO",0.68,"El_Nino","firebrick",2004-09-01,"El_Nino"
